forecast_date,target_date,ticker,p10,p50,p90,actual,model_used,direction,signal_strength,conviction_score,error_abs,error_pct,hit,direction_correct,graded_at,notes,poly_adjusted_p50,poly_adjusted_p10,poly_adjusted_p90,poly_signal,poly_confidence,poly_alignment,poly_adjustment_pct,poly_top_question
2026-05-03,2026-05-04,NG=F,2.7681,2.7859,2.8037,2.867,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,0.0811,2.9111,0.0,1.0,2026-05-05T06:45:36.115834,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,NG=F,2.778,2.7958,2.8136,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.7958,2.778,2.8136,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,NG=F,2.7777,2.8013,2.8249,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.8013,2.7777,2.8249,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,NG=F,2.7756,2.7957,2.8157,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.7957,2.7756,2.8157,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,NG=F,2.7726,2.7972,2.8219,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.7972,2.7726,2.8219,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,NG=F,2.7674,2.7852,2.803,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.7852,2.7674,2.803,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,NG=F,2.7663,2.7841,2.8019,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.7841,2.7663,2.8019,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,NG=F,2.7677,2.7854,2.8032,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.7854,2.7677,2.8032,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-14,NG=F,2.7571,2.8049,2.8526,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.8049,2.7571,2.8526,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-15,NG=F,2.7443,2.8149,2.8855,,TimeCopilot_MedianEnsemble,BULLISH,0.4056,0.7444,,,,,,,2.8149,2.7443,2.8855,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,GC=F,4638.480184,4662.260024,4686.039864,4519.5,TimeCopilot_MedianEnsemble,NEUTRAL,0.0237,0.796,142.760024,3.062,0.0,0.0,2026-05-05T06:45:36.001369,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,GC=F,4625.659528,4649.439368,4673.219208,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0237,0.796,,,,,,,4649.439368,4625.659528,4673.219208,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,GC=F,4630.301492,4654.081332,4677.861172,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0237,0.796,,,,,,,4654.081332,4630.301492,4677.861172,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,GC=F,4634.943456,4658.723296,4682.503136,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0237,0.796,,,,,,,4658.723296,4634.943456,4682.503136,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,GC=F,4636.367498,4663.36526,4690.363022,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0237,0.796,,,,,,,4663.36526,4636.367498,4690.363022,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,GC=F,4627.857698,4673.816682,4719.775666,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0237,0.796,,,,,,,4673.816682,4627.857698,4719.775666,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,GC=F,4624.984708,4672.649187,4720.313667,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0237,0.796,,,,,,,4672.649187,4624.984708,4720.313667,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
